extract,country,city,left,bottom,right,top,id
iraq,Iraq,,38.6936612,28.9612087,48.9412702,37.480932,da622cca422deb0fa50b26dc5f36af0e
ireland,Ireland,,-11.1133787,51.122,-5.5582362,55.736,7a9d353e6d19f425dc7996a1e5fe3b1d
isle_of_man,Isle of Man,,-5.2707284,53.745,-3.865406,54.6534288,c73b0256496d359171b9763f60af3865
israel,Israel,,34.1674994,29.3533796,35.9950234,33.4356317,c1fddf2a0bd8e1a3743b5bb9d64820ce
italy,Italy,,6.5272658,35.1889616,18.8844746,47.1921462,596f63b9c3f5d220cfacf478785e72f4
jamaica,Jamaica,,-78.6782365,16.4899443,-75.6541142,18.8256394,70eb1423fd83cbeaf934f96b0d4038b7
japan,Japan,,122.6141754,20.1145811,154.305541,45.8112046,f7399dd0ac42fab590f18a3c0b963b8a
jersey,Jersey,,-2.6591666,48.7721667,-1.7333332,49.5605,968f8f357073a0ceb127fc607e27d223
jordan,Jordan,,34.7844372,29.083401,39.4012981,33.4751558,70a8e72ef335aee29b3a3996cbc50fa4
kazakhstan,Kazakhstan,,46.392161,40.4686476,87.4156316,55.5804002,c675a73cf36497303a4a18787eed3ceb
kenya,Kenya,,33.8098987,-4.9995203,41.999578,4.72,60031c31ac3674edfa99af02e7078ceb
kiribati,Kiribati,,-179.1646,-7.0517,-164.1645,7.9484,d36785ec2c2ba488a6ef3ba0892263d0
kuwait,Kuwait,,46.4526837,28.4138452,49.1046809,30.2038082,388013bd03dbd1ba80a61319ddc6298e
kyrgyzstan,Kyrgyzstan,,69.1649523,39.0728437,80.3295793,43.3667971,7fdf6277bc7e056cf5ebbc76eba7b01b
laos,Laos,,99.9843247,13.8096752,107.7349989,22.602872,c4e3f7f4db26df9b87f62e557c9f406a
latvia,Latvia,,20.5715407,55.5746671,28.3414904,58.1855688,c51d875cfeb989943aa9248967a59f54
lebanon,Lebanon,,34.7825667,32.9479858,36.725,34.7923543,49629336578fd8fa0c3401591afdb8a5
lesotho,Lesotho,,26.91123,-30.7755749,29.5557099,-28.4705972,95faa61e01957a484573b7360a252af6
liberia,Liberia,,-11.7080763,4.0555907,-7.2673229,8.6519717,2e9b350146666562f592696e80716d42
libya,Libya,,9.291081,19.4008138,25.4541226,33.4512055,9756ad61be4cdc6d25faf3f267303ddf
liechtenstein,Liechtenstein,,9.3716736,46.9484291,9.7357143,47.370581,ddf2a5e907bd993ee8010f60ec1f1240
lithuania,Lithuania,,20.553783,53.7967893,26.9355198,56.5504213,7f21901c994cd3119a52802724be63b7
luxemburg,Luxemburg,,5.6357006,49.3478539,6.6312481,50.2827712,7f49433e42c9e5953857f63f7ad6de8a
macedonia,Macedonia,,20.3532236,40.7545226,23.134051,42.4735359,8746bcb87bfb98792a061e8dace5ade8
madagascar,Madagascar,,42.8729705,-25.9054593,50.7983545,-11.6490749,4dc8e22e7018c9c4454e8255ad0b174f
malawi,Malawi,,32.5703616,-17.2295216,36.0185731,-9.268326,5ecc042c0d39d3108d02f90c8536bc1e
malaysia,Malaysia,,98.8372144,0.753821,119.5390876,7.6111989,53229c1196b5794d26e778e41d23fcc3
maldives,Maldives,,72.2554187,-1.0074934,74.0700962,7.4106246,04deed426aabb907aa3e3f2a4daafae6
mali,Mali,,-12.3407704,10.047811,4.3673828,25.101084,f9bed9d37c0ea7ae9ef8d5e937d102c9
malta,Malta,,13.8324226,35.5029696,14.9267966,36.3852706,4e1b9ae3030c0c957d03bed3f69e16b5
marshall_islands,Marshall Islands,,160.494934,4.274,172.4737007,14.973,eb75c37713e799a149a2ac2103195433
mauritania,Mauritania,,-17.1684993,14.6206601,-4.7333343,27.414942,c791dcd0bc9c2b5355337debe30ba269
mauritius,Mauritius,,56.2825151,-20.8249999,63.8151319,-10.0379999,1bbf58a7c44aa9e62ea96509afc3826d
mexico,Mexico,,-118.6991899,14.2886243,-86.3932659,32.8186553,e814dbebce2c10a212cf232ae23b9945
moldova,Moldova,,26.5162823,45.3667022,30.2635137,48.5918695,fe4764e7aa99df781c3e39d170863f6c
monaco,Monaco,,7.3090279,43.416333,7.633167,43.8519311,67a0c43818c5ce96d122c7780a33a72b
mongolia,Mongolia,,87.63762,41.4804176,120.031949,52.2496,5827797f99734948a1ed0d8d84631438
montenegro,Montenegro,,18.3334249,41.6495999,20.4638002,43.658844,e8154f6a3c5caf3be62bd1fe71658e42
montserrat,Montserrat,,-62.5506669,16.375,-61.8353817,17.1152978,79725f58a5b5ae9926627a862e4cc7dd
morocco,Morocco,,-17.4479238,20.5144392,-0.8984289,36.1027875,7bfa362e286611bf59ebaae4380fdc62
mozambique,Mozambique,,30.1131759,-27.0209426,41.1545908,-10.2252148,2d33545c5dd241fa01e075ff4dff1c84
myanmar,Myanmar,,92.0719423,9.4375,101.2700796,28.647835,3bc9b29ce1b4c8a982c9e0a5f6815407
namibia,Namibia,,11.4280384,-29.0694499,25.3617476,-16.8634854,c7e88c3fb906349bffc0cba19b2e3c5d
nauru,Nauru,,166.6099864,-0.8529999,167.2597301,-0.2029999,c52be73877ae6cf8b55f2f88776c3d70
nepal,Nepal,,79.9586109,26.2477172,88.3015257,30.546945,2e721361cf1d4b3475d6ecfd0e03542f
new_zealand,New Zealand,,165.8236,-48.4206,179.5842,-33.5349,02eceff9fb87d99be45e58ac6f246dd3
nicaragua,Nicaragua,,-87.933972,10.6084923,-82.5227022,15.1331183,5140987bc271c579eec55953725fcea6
niger,Niger,,0.0689653,11.593756,16.096667,23.617178,2f36d1b29fec6c2e0819984be467b2e6
nigeria,Nigeria,,2.576932,3.9690959,14.777982,13.985645,096e9b76284d7aaa7f4e929055e63db8
niue,Niue,,-170.2595028,-19.4548664,-169.4647228,-18.6534558,0632f96aec1dac8d4076552a978a889f
north_korea,North Korea,,123.9913902,37.5279512,131.024647,43.1089642,997ae1617ef956f06dfe79fc44b3d5fb
norway,Norway,,-9.7848145,-54.7539999,34.7891253,81.128076,348b52e025b574d3b239d5774e025cc9
oman,Oman,,51.9,16.3649608,60.154577,26.8026737,a2d0b2c19415e820da9ff1573dec1126
pakistan,Pakistan,,60.766944,23.4393916,77.2203914,37.184107,bfe61459cea44481476ddfb272a43e2e
palau,Palau,,130.9685462,2.648,134.8714735,8.322,7cbe6d9bdcc0f048f320524566e9bfe8
